entities,Intermediate,Negative,Positive,General Opinion
,5633.0,3190.0,4581.0,Intermediate
"#Anime, JumpForce",0.0,0.0,1.0,Positive
#Arcade Archives,2.0,1.0,2.0,Intermediate
"#Arcade Archives’ Future Ninja, Namco",0.0,0.0,1.0,Positive
#Brands,0.0,0.0,1.0,Positive
#CyberShowdown,0.0,1.0,0.0,Negative
#Cyberpunk 2077,1.0,0.0,0.0,Intermediate
#ForeverEntertainment https://t.co/x2bsrLsgWw,1.0,0.0,0.0,Intermediate
#GenshinImpact Event,0.0,0.0,2.0,Positive
"#Hades, Nendoroid",0.0,0.0,1.0,Positive
#Hearthstone Mercenaries,0.0,0.0,1.0,Positive
#Honey,1.0,0.0,0.0,Intermediate
#Metacritic https://t.co/z3KhA47Rhl,1.0,0.0,0.0,Intermediate
#Molyneux,1.0,0.0,0.0,Intermediate
#PlayStation #StateofPlay https://t.co/PG0fTyjoBM https://t.co/csudBX4hHv,1.0,0.0,0.0,Intermediate
"#RiverCityGirls2, https://t.co/KuaRzpVreB https://t.co/UURZfsIEHz",1.0,0.0,0.0,Intermediate
#Scorn,0.0,1.0,0.0,Negative
#SonicFrontiers,0.0,0.0,1.0,Positive
#Steam,2.0,0.0,0.0,Intermediate
"#Steam, https://t.co/4Re4ZuXb5J",0.0,0.0,1.0,Positive
#TGA2021 https://t.co/pe0U84ud3m https://t.co/9aenA5ShGl,0.0,1.0,0.0,Negative
#THQNordic,0.0,0.0,1.0,Positive
#Tencent,2.0,0.0,0.0,Intermediate
"#Tencent, HonorofKings, RPG",1.0,0.0,0.0,Intermediate
"#Tencent, SumoDigital https://t.co/5ZuUEXwpEf",0.0,0.0,1.0,Positive
"259
https://t.co/PUe4mEWNmx",1.0,0.0,0.0,Intermediate
2D,1.0,0.0,1.0,Intermediate
3.5M,0.0,0.0,1.0,Positive
"300th, Pistol Daimyo’s",1.0,0.0,0.0,Intermediate
"3090, New World, EVGA",0.0,0.0,1.0,Positive
343 Industries,1.0,1.0,1.0,Intermediate
"343 Industries, Halo Infinite Season 1",0.0,0.0,1.0,Positive
"343 Industries, Halo Infinite's",0.0,0.0,2.0,Positive
"343 Industries, Halo Infinite's, Slayer, Fiesta, Free-For-All, Tactical Slayer, SWAT, https://t.co/KLCj5QnMNt",0.0,1.0,0.0,Negative
"343 Industries, Halo Infinite's, https://t.co/f8Avyc3EXM",0.0,0.0,1.0,Positive
"343 Industries, Riot Games, https://t.co/YNfrzvBFRM",0.0,1.0,0.0,Negative
"343 Industries, SWAT, HaloInfinite",0.0,0.0,1.0,Positive
3PM ET,1.0,0.0,0.0,Intermediate
4K60,0.0,0.0,1.0,Positive
700W,1.0,0.0,0.0,Intermediate
7400MB,0.0,0.0,1.0,Positive
8BitDo,1.0,0.0,0.0,Intermediate
"8BitDo, Xbox",1.0,0.0,0.0,Intermediate
"8BitDo, Xbox, @jeffgrubb",1.0,0.0,0.0,Intermediate
"9000, Animal Crossing New Horizons",0.0,0.0,1.0,Positive
@APZonerunner,0.0,0.0,1.0,Positive
@AffordStudio @CertainAffinity @EidosSherbrooke,0.0,0.0,1.0,Positive
@AffordStudio @CertainAffinity @EidosSherbrooke @evolve_pr,1.0,0.0,9.0,Positive
"@AffordStudio @CertainAffinity @EidosSherbrooke @evolve_pr, EA Full Circle",0.0,0.0,1.0,Positive
"@AffordStudio @CertainAffinity @EidosSherbrooke @evolve_pr, Galaxy, Eidos Montreal",0.0,0.0,1.0,Positive
"@AffordStudio @CertainAffinity @EidosSherbrooke @evolve_pr, Trebuchet Studio",0.0,0.0,1.0,Positive
"@AffordStudio @CertainAffinity @EidosSherbrooke @evolve_pr, https://t.co/tilr2sz2zk",0.0,0.0,1.0,Positive
"@AffordStudio @CertainAffinity @EidosSherbrooke @evolve_pr, the Small Company",0.0,0.0,1.0,Positive
"@AffordStudio @CertainAffinity @EidosSherbrooke, Evolve PR",0.0,0.0,1.0,Positive
"@AffordStudio @CertainAffinity Joining, Small Company, Eidos Sherbrooke @EidosSherbrooke #",0.0,0.0,1.0,Positive
@Aliythia,0.0,0.0,1.0,Positive
@AyeGeeBrah &lt;3,1.0,0.0,0.0,Intermediate
@Battlefield,0.0,0.0,2.0,Positive
"@CAGames, @CriterionGames",1.0,0.0,0.0,Intermediate
@ChrisTapsell,0.0,0.0,2.0,Positive
"@ChrisTapsell, Eurogamer",0.0,0.0,1.0,Positive
@CoreyBrotherson &,0.0,0.0,1.0,Positive
